Timestamp,X,Y
2025-01-08 12:13:23,610,230
2025-01-08 12:13:23,612,228
2025-01-08 12:13:24,609,230
2025-01-08 12:13:24,609,230
2025-01-08 12:13:24,613,228
2025-01-08 12:13:24,607,230
2025-01-08 12:13:24,607,230
2025-01-08 12:13:24,612,231
2025-01-08 12:13:24,608,232
2025-01-08 12:13:24,608,232
2025-01-08 12:13:24,613,230
2025-01-08 12:13:24,613,230
2025-01-08 12:13:24,609,229
2025-01-08 12:13:24,612,227
2025-01-08 12:13:24,610,227
2025-01-08 12:13:24,610,227
2025-01-08 12:13:24,613,229
2025-01-08 12:13:24,610,227
2025-01-08 12:13:24,610,227
2025-01-08 12:13:24,613,229
2025-01-08 12:13:24,610,226
2025-01-08 12:13:24,610,226
2025-01-08 12:13:24,613,229
2025-01-08 12:13:24,613,229
2025-01-08 12:13:24,609,229
2025-01-08 12:13:24,611,229
2025-01-08 12:13:24,612,228
2025-01-08 12:13:24,612,228
2025-01-08 12:13:24,611,226
2025-01-08 12:13:24,612,225
2025-01-08 12:13:24,612,225
2025-01-08 12:13:24,612,226
2025-01-08 12:13:25,613,225
2025-01-08 12:13:25,613,225
2025-01-08 12:13:25,612,230
2025-01-08 12:13:25,612,230
2025-01-08 12:13:25,613,224
2025-01-08 12:13:25,611,228
2025-01-08 12:13:25,612,226
2025-01-08 12:13:25,612,226
2025-01-08 12:13:25,608,231
2025-01-08 12:13:25,613,229
2025-01-08 12:13:25,613,229
2025-01-08 12:13:25,608,231
2025-01-08 12:13:25,613,229
2025-01-08 12:13:25,613,229
2025-01-08 12:13:25,608,227
2025-01-08 12:13:25,608,227
2025-01-08 12:13:25,614,225
2025-01-08 12:13:25,610,225
2025-01-08 12:13:25,613,225
2025-01-08 12:13:25,613,225
2025-01-08 12:13:25,612,225
2025-01-08 12:13:25,612,226
2025-01-08 12:13:25,612,226
2025-01-08 12:13:25,611,226
2025-01-08 12:13:25,612,228
2025-01-08 12:13:25,612,228
2025-01-08 12:13:25,611,227
2025-01-08 12:13:25,611,227
2025-01-08 12:13:25,611,232
2025-01-08 12:13:25,609,230
2025-01-08 12:13:26,610,231
2025-01-08 12:13:26,610,231
2025-01-08 12:13:26,611,227
2025-01-08 12:13:26,609,229
2025-01-08 12:13:26,609,229
