Timestamp,X,Y
2025-01-08 12:09:23,615,230
2025-01-08 12:09:23,612,234
2025-01-08 12:09:23,615,229
2025-01-08 12:09:23,615,229
2025-01-08 12:09:23,611,234
2025-01-08 12:09:23,615,231
2025-01-08 12:09:23,615,231
2025-01-08 12:09:23,611,231
2025-01-08 12:09:23,616,227
2025-01-08 12:09:23,616,227
2025-01-08 12:09:23,611,227
2025-01-08 12:09:23,611,227
2025-01-08 12:09:23,616,230
2025-01-08 12:09:23,613,231
2025-01-08 12:09:23,615,233
2025-01-08 12:09:23,615,233
2025-01-08 12:09:23,613,229
2025-01-08 12:09:23,614,231
2025-01-08 12:09:23,614,231
2025-01-08 12:09:23,613,227
2025-01-08 12:09:23,612,234
2025-01-08 12:09:23,612,234
2025-01-08 12:09:23,612,232
2025-01-08 12:09:23,612,232
2025-01-08 12:09:24,612,235
2025-01-08 12:09:24,615,228
2025-01-08 12:09:24,611,233
2025-01-08 12:09:24,611,233
2025-01-08 12:09:24,613,235
2025-01-08 12:09:24,609,238
2025-01-08 12:09:24,609,238
2025-01-08 12:09:24,614,235
2025-01-08 12:09:24,608,236
2025-01-08 12:09:24,608,236
2025-01-08 12:09:24,615,233
2025-01-08 12:09:24,615,233
2025-01-08 12:09:24,610,237
2025-01-08 12:09:24,614,236
2025-01-08 12:09:24,612,237
2025-01-08 12:09:24,612,237
2025-01-08 12:09:24,615,232
2025-01-08 12:09:24,611,235
2025-01-08 12:09:24,611,235
2025-01-08 12:09:24,611,238
2025-01-08 12:09:24,606,241
2025-01-08 12:09:24,606,241
2025-01-08 12:09:24,611,240
2025-01-08 12:09:24,611,240
2025-01-08 12:09:24,606,239
2025-01-08 12:09:24,610,237
2025-01-08 12:09:24,608,240
2025-01-08 12:09:24,608,240
2025-01-08 12:09:24,609,240
2025-01-08 12:09:25,612,239
2025-01-08 12:09:25,612,239
2025-01-08 12:09:25,611,230
2025-01-08 12:09:25,618,221
2025-01-08 12:09:25,618,221
2025-01-08 12:09:25,617,217
2025-01-08 12:09:25,617,217
2025-01-08 12:09:25,618,229
2025-01-08 12:09:25,611,238
2025-01-08 12:09:25,614,237
2025-01-08 12:09:25,614,237
2025-01-08 12:09:25,610,228
2025-01-08 12:09:25,614,227
2025-01-08 12:09:25,614,227
2025-01-08 12:09:25,607,231
2025-01-08 12:09:25,613,240
2025-01-08 12:09:25,613,240
2025-01-08 12:09:25,609,239
2025-01-08 12:09:25,609,239
2025-01-08 12:09:25,612,241
2025-01-08 12:09:25,610,230
2025-01-08 12:09:25,614,230
2025-01-08 12:09:25,614,230
2025-01-08 12:09:25,611,229
2025-01-08 12:09:25,614,234
2025-01-08 12:09:25,614,234
2025-01-08 12:09:25,613,232
2025-01-08 12:09:25,614,235
2025-01-08 12:09:25,614,235
2025-01-08 12:09:25,610,232
